"unknown","unknown","Unknown Architecture"
"aarch64","aarch64","Arm (64 bit little endian)"
"alpha","alpha","DEC Alpha (64 bit big endian)"
"arm","arm","ARM (32 bit)"
"i386","i386,i486,i586,i686","Intel x86_32 reference arch"
"x86_64","x86_64","AMD x86_64 reference arch"
"ia64","ia64","Intel 64 bit processor"
"mips","mips","Microprocessor without Interlocked Pipeline Stages (32 bit big endian)"
"mips64","mips64","Microprocessor without Interlocked Pipeline Stages (64 bit big endian)"
"mips64el","mips64le","Microprocessor without Interlocked Pipeline Stages (64 bit little endian)"
"ppc","ppc","IBM Power (32 bit big endian)"
"ppc64","ppc64","IBM Power (64 bit big endian)"
"ppc64le","ppc64le","IBM Power (64 bit little endian)"
"risc-v","risc-v","RISC-V"
"s390","s390","IBM z machine s390 (31 bit)"
"s390x","s390x","IBM z machine s390 (64 bit)"
"sparc","sparc","Sun Sparc (32 bit)"
"sparc64","sparc64","Sun Sparc (64 bit)"
"tilegx","tilegx","Tilera architecture"
