"unknown","Unknown Variant"
"atomichost","Atomic Based Variant"
"atomicworkstation","Atomic Workstation"
"cinnamon","Cinnamon Desktop"
"cloud","Cloud FocusedImage"
"container","Container Focused Image"
"gnome","GNOME Desktop"
"kde","KDE Desktop"
"lxde","LXDE Desktop"
"lxqt","LXQT Desktop"
"mate","MATE Desktop"
"minimal","Minimal System"
"modular","Modular Based System"
"netinstall","Netinstall Image"
"server","Server System"
"soas","Sugar On A Stick"
"workstation","Workstation"
"xfce","XFCE Desktop"
"silverblue","SilverBlue"
